Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.custom.ig.nour.json	7837	-	0	0	0	0	0	0	4	70	0	0	0	0	1	0	0	0	0	0	150	101	0	0	0	4	0	1
fsh-generated/resources/Bundle-ExampleBundle.json	2823	12	1	0	0	0	15	0	0	221	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-client-key-population-code-system.json	544	6	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	12	1473	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dispense-codes-code-system.json	4662	17	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	1	0	0	57	107	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-followup-status-code-system.json	847	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	16	47	0	0	0	0	0	0
fsh-generated/resources/Encounter-EthEncounterExample.json	1021	8	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-EthMedicationDispenseExample.json	1154	7	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Organization-EthOrganizationExample.json	600	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	435	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	1979	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-arv-dose-end-date.json	1514	3	0	0	0	0	0	23	1	46	0	0	0	0	0	0	0	0	0	0	73	466	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-client-key-population-extension.json	1689	4	1	0	0	0	0	23	0	21	0	0	0	0	0	0	0	0	0	0	73	162	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-encounter-next-visit.json	1385	2	0	0	0	0	0	17	0	39	0	0	0	0	0	0	0	0	0	0	69	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-encounter-visit-type.json	1373	3	0	0	0	0	0	16	0	19	0	0	0	0	0	0	0	1	0	0	69	128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eth-encounter.json	3880	7	0	0	0	0	0	194	0	143	0	0	0	0	0	0	0	1	0	0	630	1241	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-eth-medication-dispense.json	6063	8	0	0	0	0	0	183	0	137	0	0	0	0	0	0	0	1	0	0	604	581	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-eth-organization.json	3030	6	0	0	0	0	0	145	0	118	0	0	0	0	0	0	0	1	0	0	378	366	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-hiv-patient.json	7387	12	0	0	0	0	0	214	0	193	0	0	1	0	0	0	0	1	0	0	760	640	0	0	0	13	0	1
fsh-generated/resources/ValueSet-client-key-population-values.json	1231	2	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	17	4203	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dispense-codes-value-set.json	1376	3	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	18	172	0	0	0	0	0	0
fsh-generated/resources/ValueSet-followup-status-value-set.json	454	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	47	0	0	0	1	0	0
